onset	duration	trial_type	rating
0.05	17.42	fixation_cross	n/a
17.47	3.01	instruction	n/a
20.48	20.05	watch_static_bars	n/a
40.53	18.27	fixation_cross	n/a
58.8	3.01	instruction	n/a
61.81	20.06	control_moving_bars	n/a
81.87	5.37	rating	2
87.24	19.76	fixation_cross	n/a
107	3.01	instruction	n/a
110.01	20.06	watch_moving_bars	n/a
130.07	19.39	fixation_cross	n/a
149.46	3.01	instruction	n/a
152.47	20.06	control_moving_bars	n/a
172.54	3.54	rating	2
176.08	19.89	fixation_cross	n/a
195.97	3.01	instruction	n/a
198.98	20.05	watch_static_bars	n/a
219.02	18.97	fixation_cross	n/a
237.99	3.01	instruction	n/a
241	20.06	control_moving_bars	n/a
261.07	3.09	rating	2
264.15	17.11	fixation_cross	n/a
281.27	3.01	instruction	n/a
284.28	20.06	watch_moving_bars	n/a
304.34	19.56	fixation_cross	n/a
323.9	3.01	instruction	n/a
326.91	20.06	watch_moving_bars	n/a
346.98	19.81	fixation_cross	n/a
366.79	3.01	instruction	n/a
369.8	20.05	watch_static_bars	n/a
389.84	19.05	fixation_cross	n/a
408.89	3.01	instruction	n/a
411.9	20.05	watch_static_bars	n/a
431.95	19.28	fixation_cross	n/a
451.23	3.01	instruction	n/a
454.24	20.06	control_moving_bars	n/a
474.3	2.95	rating	1
477.25	19.24	fixation_cross	n/a
496.49	3.01	instruction	n/a
499.5	20.06	watch_moving_bars	n/a
519.56	18.19	fixation_cross	n/a
537.75	3.01	instruction	n/a
540.76	20.11	control_moving_bars	n/a
560.87	2	rating	1
562.86	18.97	fixation_cross	n/a
581.83	3.01	instruction	n/a
584.84	20.03	watch_static_bars	n/a
604.88	17.52	fixation_cross	n/a
622.39	3.01	instruction	n/a
625.4	20.06	watch_moving_bars	n/a
