onset	duration	trial_type	rating
0.03	19.27	fixation_cross	n/a
19.3	3.01	instruction	n/a
22.31	20.06	control_moving_bars	n/a
42.37	1.98	rating	3
44.35	17.77	fixation_cross	n/a
62.12	3.01	instruction	n/a
65.13	20.06	watch_moving_bars	n/a
85.19	18.53	fixation_cross	n/a
103.72	3.01	instruction	n/a
106.74	20.06	watch_moving_bars	n/a
126.8	19.11	fixation_cross	n/a
145.91	3.01	instruction	n/a
148.92	20.06	control_moving_bars	n/a
168.98	5.21	rating	3
174.19	19.69	fixation_cross	n/a
193.88	3.01	instruction	n/a
196.89	20.03	watch_static_bars	n/a
216.92	19.89	fixation_cross	n/a
236.81	3.01	instruction	n/a
239.82	20.06	control_moving_bars	n/a
259.88	3.18	rating	4
263.06	18.66	fixation_cross	n/a
281.72	3.01	instruction	n/a
284.73	20.03	watch_static_bars	n/a
304.76	17.42	fixation_cross	n/a
322.19	3.01	instruction	n/a
325.2	20.06	watch_moving_bars	n/a
345.26	17.46	fixation_cross	n/a
362.72	3.01	instruction	n/a
365.73	20.06	watch_moving_bars	n/a
385.79	17.78	fixation_cross	n/a
403.57	3.01	instruction	n/a
406.58	20.06	control_moving_bars	n/a
426.65	4.13	rating	4
430.78	19.53	fixation_cross	n/a
450.31	3.01	instruction	n/a
453.32	20.06	watch_moving_bars	n/a
473.38	17.77	fixation_cross	n/a
491.15	3.01	instruction	n/a
494.16	20.03	watch_static_bars	n/a
514.19	19.45	fixation_cross	n/a
533.65	3.01	instruction	n/a
536.66	20.03	watch_static_bars	n/a
556.69	17.74	fixation_cross	n/a
574.42	3.01	instruction	n/a
577.43	20.06	control_moving_bars	n/a
597.5	3.4	rating	4
600.9	19.8	fixation_cross	n/a
620.69	3.01	instruction	n/a
623.7	20.03	watch_static_bars	n/a
