onset	duration	trial_type	rating
0.3	19.45	fixation_cross	n/a
19.75	3.01	instruction	n/a
22.76	20.06	control_moving_bars	n/a
42.83	4	rating	4
46.83	19.71	fixation_cross	n/a
66.53	3.02	instruction	n/a
69.55	20.06	watch_moving_bars	n/a
89.61	17.4	fixation_cross	n/a
107	3.01	instruction	n/a
110.02	20.05	watch_moving_bars	n/a
130.06	19.75	fixation_cross	n/a
149.82	3	instruction	n/a
152.82	20.07	control_moving_bars	n/a
172.88	1.96	rating	3
174.84	18.9	fixation_cross	n/a
193.74	3.01	instruction	n/a
196.75	20.03	watch_static_bars	n/a
216.78	17.3	fixation_cross	n/a
234.08	3.01	instruction	n/a
237.1	20.11	control_moving_bars	n/a
257.2	1.89	rating	4
259.1	17.84	fixation_cross	n/a
276.94	3.01	instruction	n/a
279.94	20.03	watch_static_bars	n/a
299.98	18.64	fixation_cross	n/a
318.62	3.01	instruction	n/a
321.63	20.06	watch_moving_bars	n/a
341.69	19.88	fixation_cross	n/a
361.56	3.01	instruction	n/a
364.58	20.07	watch_moving_bars	n/a
384.64	19.91	fixation_cross	n/a
404.54	3.01	instruction	n/a
407.56	20.06	control_moving_bars	n/a
427.62	1.21	rating	3
428.83	17.48	fixation_cross	n/a
446.31	3	instruction	n/a
449.32	20.07	watch_moving_bars	n/a
469.38	19.92	fixation_cross	n/a
489.3	3.01	instruction	n/a
492.31	20.05	watch_static_bars	n/a
512.36	19.88	fixation_cross	n/a
532.24	3	instruction	n/a
535.24	20.03	watch_static_bars	n/a
555.27	18.48	fixation_cross	n/a
573.74	3.01	instruction	n/a
576.76	20.06	control_moving_bars	n/a
596.82	1.42	rating	3
598.24	19.41	fixation_cross	n/a
617.64	3.01	instruction	n/a
620.65	20.04	watch_static_bars	n/a
