onset	duration	trial_type	rating
0.1	19.45	fixation_cross	n/a
19.56	3	instruction	n/a
22.56	20.06	control_moving_bars	n/a
42.62	5.86	rating	2
48.48	19.72	fixation_cross	n/a
68.2	3.01	instruction	n/a
71.22	20.11	watch_moving_bars	n/a
91.33	17.4	fixation_cross	n/a
108.72	3.01	instruction	n/a
111.73	20.06	watch_moving_bars	n/a
131.79	19.75	fixation_cross	n/a
151.55	3	instruction	n/a
154.55	20.07	control_moving_bars	n/a
174.62	5.61	rating	2
180.23	18.91	fixation_cross	n/a
199.14	3.01	instruction	n/a
202.15	20.04	watch_static_bars	n/a
222.18	17.3	fixation_cross	n/a
239.48	3.01	instruction	n/a
242.49	20.05	control_moving_bars	n/a
262.54	2.07	rating	3
264.61	17.84	fixation_cross	n/a
282.44	3.01	instruction	n/a
285.45	20.03	watch_static_bars	n/a
305.48	18.64	fixation_cross	n/a
324.13	3.01	instruction	n/a
327.14	20.06	watch_moving_bars	n/a
347.2	19.88	fixation_cross	n/a
367.07	3.01	instruction	n/a
370.08	20.07	watch_moving_bars	n/a
390.15	19.91	fixation_cross	n/a
410.05	3.01	instruction	n/a
413.06	20.06	control_moving_bars	n/a
433.12	6.14	rating	3
439.26	17.48	fixation_cross	n/a
456.75	3	instruction	n/a
459.75	20.07	watch_moving_bars	n/a
479.82	19.92	fixation_cross	n/a
499.74	3.01	instruction	n/a
502.75	20.04	watch_static_bars	n/a
522.78	19.87	fixation_cross	n/a
542.65	3.01	instruction	n/a
545.66	20.03	watch_static_bars	n/a
565.69	18.47	fixation_cross	n/a
584.16	3.01	instruction	n/a
587.18	20.06	control_moving_bars	n/a
607.24	9.11	rating	4
616.34	19.4	fixation_cross	n/a
635.74	3.01	instruction	n/a
638.75	20.03	watch_static_bars	n/a
