onset	duration	trial_type	rating
0.09	19.45	fixation_cross	n/a
19.55	3.01	instruction	n/a
22.56	20.11	watch_moving_bars	n/a
42.67	19.72	fixation_cross	n/a
62.38	3.01	instruction	n/a
65.39	20.06	control_moving_bars	n/a
85.46	3.14	rating	4
88.59	17.39	fixation_cross	n/a
105.99	3.01	instruction	n/a
109	20.02	watch_static_bars	n/a
129.01	19.75	fixation_cross	n/a
148.76	3.01	instruction	n/a
151.77	20.06	control_moving_bars	n/a
171.83	5.8	rating	4
177.64	18.91	fixation_cross	n/a
196.54	3.01	instruction	n/a
199.56	20.06	control_moving_bars	n/a
219.62	1.48	rating	3
221.1	17.3	fixation_cross	n/a
238.4	3.01	instruction	n/a
241.41	20.06	watch_moving_bars	n/a
261.47	17.85	fixation_cross	n/a
279.32	3.01	instruction	n/a
282.33	20.06	watch_moving_bars	n/a
302.39	18.64	fixation_cross	n/a
321.03	3.01	instruction	n/a
324.04	20.03	watch_static_bars	n/a
344.07	19.87	fixation_cross	n/a
363.95	3.01	instruction	n/a
366.96	20.06	watch_moving_bars	n/a
387.02	19.91	fixation_cross	n/a
406.93	3.01	instruction	n/a
409.94	20.06	control_moving_bars	n/a
430	3.49	rating	4
433.49	17.49	fixation_cross	n/a
450.98	3.01	instruction	n/a
453.99	20.01	watch_static_bars	n/a
474.01	19.92	fixation_cross	n/a
493.93	3.01	instruction	n/a
496.94	20.06	watch_moving_bars	n/a
517	19.87	fixation_cross	n/a
536.87	3.01	instruction	n/a
539.88	20.03	watch_static_bars	n/a
559.92	18.47	fixation_cross	n/a
578.39	3.01	instruction	n/a
581.4	20.06	control_moving_bars	n/a
601.46	1.78	rating	2
603.24	19.41	fixation_cross	n/a
622.64	3.01	instruction	n/a
625.65	20.03	watch_static_bars	n/a
