onset	duration	trial_type	rating
0.01	19.13	fixation_cross	n/a
19.14	3.01	instruction	n/a
22.15	20.06	watch_moving_bars	n/a
42.21	17.1	fixation_cross	n/a
59.31	3.01	instruction	n/a
62.32	20.06	control_moving_bars	n/a
82.38	3.95	rating	2
86.33	17.83	fixation_cross	n/a
104.16	3.01	instruction	n/a
107.17	20.03	watch_static_bars	n/a
127.2	17.14	fixation_cross	n/a
144.35	3.01	instruction	n/a
147.36	20.06	control_moving_bars	n/a
167.42	4.51	rating	1
171.93	17.3	fixation_cross	n/a
189.23	3.01	instruction	n/a
192.24	20.06	control_moving_bars	n/a
212.3	3.56	rating	2
215.86	19.48	fixation_cross	n/a
235.34	3.01	instruction	n/a
238.35	20.06	watch_moving_bars	n/a
258.41	19.09	fixation_cross	n/a
277.51	3.01	instruction	n/a
280.52	20.06	watch_moving_bars	n/a
300.58	17.96	fixation_cross	n/a
318.54	3.01	instruction	n/a
321.55	20.03	watch_static_bars	n/a
341.58	19.86	fixation_cross	n/a
361.44	3.01	instruction	n/a
364.45	20.06	watch_moving_bars	n/a
384.51	17.11	fixation_cross	n/a
401.62	3.01	instruction	n/a
404.63	20.06	control_moving_bars	n/a
424.7	4.94	rating	3
429.66	18.33	fixation_cross	n/a
447.99	3.01	instruction	n/a
451	20.03	watch_static_bars	n/a
471.03	18.16	fixation_cross	n/a
489.18	3.01	instruction	n/a
492.2	20.06	watch_moving_bars	n/a
512.26	19.3	fixation_cross	n/a
531.56	3.01	instruction	n/a
534.57	20.03	watch_static_bars	n/a
554.6	19.39	fixation_cross	n/a
573.99	3.01	instruction	n/a
577	20.06	control_moving_bars	n/a
597.06	2.68	rating	3
599.74	17.56	fixation_cross	n/a
617.31	3.01	instruction	n/a
620.32	20.03	watch_static_bars	n/a
