onset	duration	trial_type	rating
0.19	19.44	fixation_cross	n/a
19.64	3.01	instruction	n/a
22.64	20.03	watch_static_bars	n/a
42.67	19.72	fixation_cross	n/a
62.4	3.01	instruction	n/a
65.4	20.07	control_moving_bars	n/a
85.47	10.04	rating	4
95.5	17.39	fixation_cross	n/a
112.89	3.01	instruction	n/a
115.9	20.06	watch_moving_bars	n/a
135.96	19.75	fixation_cross	n/a
155.72	3.01	instruction	n/a
158.72	20.05	control_moving_bars	n/a
178.77	2.08	rating	3
180.85	18.9	fixation_cross	n/a
199.76	3.01	instruction	n/a
202.76	20.03	watch_static_bars	n/a
222.79	17.3	fixation_cross	n/a
240.1	3.01	instruction	n/a
243.1	20.07	control_moving_bars	n/a
263.17	3.04	rating	3
266.21	17.84	fixation_cross	n/a
284.06	3.01	instruction	n/a
287.07	20.06	watch_moving_bars	n/a
307.13	18.64	fixation_cross	n/a
325.77	3.02	instruction	n/a
328.79	20.06	watch_moving_bars	n/a
348.85	19.88	fixation_cross	n/a
368.72	3.01	instruction	n/a
371.73	20.04	watch_static_bars	n/a
391.76	19.9	fixation_cross	n/a
411.66	3.01	instruction	n/a
414.68	20.03	watch_static_bars	n/a
434.7	17.48	fixation_cross	n/a
452.18	3.01	instruction	n/a
455.19	20.06	control_moving_bars	n/a
475.25	6.87	rating	4
482.12	19.92	fixation_cross	n/a
502.04	3.01	instruction	n/a
505.05	20.06	watch_moving_bars	n/a
525.11	19.88	fixation_cross	n/a
544.99	3.01	instruction	n/a
548	20.07	control_moving_bars	n/a
568.06	2.47	rating	3
570.54	18.48	fixation_cross	n/a
589.01	3.01	instruction	n/a
592.02	20.04	watch_static_bars	n/a
612.06	19.41	fixation_cross	n/a
631.46	3	instruction	n/a
634.47	20.11	watch_moving_bars	n/a
