onset	duration	trial_type	rating
0.25	19.45	fixation_cross	n/a
19.7	3.01	instruction	n/a
22.71	20.05	watch_static_bars	n/a
42.76	19.72	fixation_cross	n/a
62.48	3.01	instruction	n/a
65.49	20.06	control_moving_bars	n/a
85.55	7.08	rating	4
92.63	17.39	fixation_cross	n/a
110.03	3.01	instruction	n/a
113.04	20.06	watch_moving_bars	n/a
133.1	19.75	fixation_cross	n/a
152.85	3.01	instruction	n/a
155.86	20.06	control_moving_bars	n/a
175.92	4.52	rating	3
180.46	18.91	fixation_cross	n/a
199.37	3.01	instruction	n/a
202.38	20.05	watch_static_bars	n/a
222.43	17.3	fixation_cross	n/a
239.73	3.01	instruction	n/a
242.74	20.06	control_moving_bars	n/a
262.8	3.34	rating	4
266.14	17.85	fixation_cross	n/a
283.98	3.01	instruction	n/a
286.99	20.06	watch_moving_bars	n/a
307.06	18.64	fixation_cross	n/a
325.7	3.01	instruction	n/a
328.71	20.06	watch_moving_bars	n/a
348.77	19.87	fixation_cross	n/a
368.64	3.01	instruction	n/a
371.65	20.03	watch_static_bars	n/a
391.69	19.91	fixation_cross	n/a
411.59	3.01	instruction	n/a
414.6	20.03	watch_static_bars	n/a
434.63	17.49	fixation_cross	n/a
452.12	3.01	instruction	n/a
455.13	20.06	control_moving_bars	n/a
475.19	2.85	rating	3
478.05	19.92	fixation_cross	n/a
497.97	3.01	instruction	n/a
500.98	20.06	watch_moving_bars	n/a
521.04	19.87	fixation_cross	n/a
540.92	3.01	instruction	n/a
543.93	20.11	control_moving_bars	n/a
564.04	2.98	rating	4
567.03	18.47	fixation_cross	n/a
585.5	3.01	instruction	n/a
588.51	20.05	watch_static_bars	n/a
608.56	19.41	fixation_cross	n/a
627.96	3.01	instruction	n/a
630.97	20.06	watch_moving_bars	n/a
