onset	duration	trial_type	rating
0.05	18.07	fixation_cross	n/a
18.11	3.01	instruction	n/a
21.12	20.06	control_moving_bars	n/a
41.18	0.12	rating	3
41.31	17.6	fixation_cross	n/a
58.91	3.01	instruction	n/a
61.92	20.06	watch_moving_bars	n/a
81.98	17.77	fixation_cross	n/a
99.75	3.01	instruction	n/a
102.76	20.03	watch_static_bars	n/a
122.79	18.86	fixation_cross	n/a
141.65	3.01	instruction	n/a
144.66	20.06	control_moving_bars	n/a
164.72	4.48	rating	3
169.2	18.42	fixation_cross	n/a
187.62	3.01	instruction	n/a
190.63	20.06	watch_moving_bars	n/a
210.69	18.07	fixation_cross	n/a
228.76	3.01	instruction	n/a
231.77	20.06	control_moving_bars	n/a
251.83	0.06	rating	3
251.91	19.5	fixation_cross	n/a
271.41	3.01	instruction	n/a
274.42	20.03	watch_static_bars	n/a
294.45	18.77	fixation_cross	n/a
313.22	3.01	instruction	n/a
316.23	20.06	watch_moving_bars	n/a
336.29	18.66	fixation_cross	n/a
354.95	3.01	instruction	n/a
357.96	20.06	watch_moving_bars	n/a
378.02	19.76	fixation_cross	n/a
397.79	3.01	instruction	n/a
400.8	20.03	watch_static_bars	n/a
420.83	17.86	fixation_cross	n/a
438.69	3.01	instruction	n/a
441.7	20.06	watch_moving_bars	n/a
461.76	19.28	fixation_cross	n/a
481.04	3.01	instruction	n/a
484.05	20.06	control_moving_bars	n/a
504.12	2.2	rating	4
506.32	19.27	fixation_cross	n/a
525.58	3.01	instruction	n/a
528.59	20.03	watch_static_bars	n/a
548.62	18.14	fixation_cross	n/a
566.76	3.01	instruction	n/a
569.78	20.01	watch_static_bars	n/a
589.79	18.7	fixation_cross	n/a
608.5	3.01	instruction	n/a
611.51	20.06	control_moving_bars	n/a
631.57	1.87	rating	3
