onset	duration	trial_type	rating
0.01	18.47	fixation_cross	n/a
18.49	3.01	instruction	n/a
21.5	20.05	watch_static_bars	n/a
41.54	18.35	fixation_cross	n/a
59.89	3.01	instruction	n/a
62.9	20.06	control_moving_bars	n/a
82.96	3.79	rating	4
86.77	18.94	fixation_cross	n/a
105.7	3.01	instruction	n/a
108.72	20.06	watch_moving_bars	n/a
128.78	19.14	fixation_cross	n/a
147.92	3.01	instruction	n/a
150.93	20.06	control_moving_bars	n/a
170.99	2.98	rating	4
173.97	19.27	fixation_cross	n/a
193.24	3.01	instruction	n/a
196.25	20.03	watch_static_bars	n/a
216.28	17.83	fixation_cross	n/a
234.11	3.01	instruction	n/a
237.12	20.06	control_moving_bars	n/a
257.18	2.45	rating	2
259.63	19.05	fixation_cross	n/a
278.68	3.01	instruction	n/a
281.69	20.06	watch_moving_bars	n/a
301.75	18.97	fixation_cross	n/a
320.72	3.01	instruction	n/a
323.73	20.06	watch_moving_bars	n/a
343.79	17.5	fixation_cross	n/a
361.3	3.01	instruction	n/a
364.31	20.03	watch_static_bars	n/a
384.34	17.36	fixation_cross	n/a
401.7	3.01	instruction	n/a
404.71	20.03	watch_static_bars	n/a
424.74	18.5	fixation_cross	n/a
443.24	3.01	instruction	n/a
446.25	20.06	control_moving_bars	n/a
466.32	3.07	rating	2
469.39	19.89	fixation_cross	n/a
489.28	3.01	instruction	n/a
492.29	20.06	watch_moving_bars	n/a
512.35	18.03	fixation_cross	n/a
530.38	3.01	instruction	n/a
533.4	20.06	control_moving_bars	n/a
553.46	2.39	rating	4
555.86	18.77	fixation_cross	n/a
574.63	3.01	instruction	n/a
577.64	20.03	watch_static_bars	n/a
597.67	17.68	fixation_cross	n/a
615.34	3.01	instruction	n/a
618.35	20.06	watch_moving_bars	n/a
