onset	duration	trial_type	rating
0.03	18.47	fixation_cross	n/a
18.5	3.01	instruction	n/a
21.51	20.06	watch_moving_bars	n/a
41.57	18.35	fixation_cross	n/a
59.92	3.01	instruction	n/a
62.93	20.06	control_moving_bars	n/a
82.99	3.79	rating	3
86.78	18.94	fixation_cross	n/a
105.72	3.01	instruction	n/a
108.73	20.03	watch_static_bars	n/a
128.76	19.14	fixation_cross	n/a
147.9	3.01	instruction	n/a
150.92	20.06	control_moving_bars	n/a
170.98	3.91	rating	4
174.89	19.27	fixation_cross	n/a
194.16	3.01	instruction	n/a
197.17	20.06	control_moving_bars	n/a
217.23	1.54	rating	3
218.78	17.83	fixation_cross	n/a
236.61	3.01	instruction	n/a
239.62	20.06	watch_moving_bars	n/a
259.68	19.05	fixation_cross	n/a
278.73	3.01	instruction	n/a
281.74	20.06	watch_moving_bars	n/a
301.8	18.97	fixation_cross	n/a
320.77	3.01	instruction	n/a
323.78	20.02	watch_static_bars	n/a
343.79	17.5	fixation_cross	n/a
361.3	3.01	instruction	n/a
364.31	20.06	watch_moving_bars	n/a
384.37	17.36	fixation_cross	n/a
401.73	3.01	instruction	n/a
404.74	20.06	control_moving_bars	n/a
424.8	2.21	rating	4
427.02	18.5	fixation_cross	n/a
445.52	3.01	instruction	n/a
448.53	20.03	watch_static_bars	n/a
468.56	19.89	fixation_cross	n/a
488.45	3.01	instruction	n/a
491.46	20.06	watch_moving_bars	n/a
511.52	18.03	fixation_cross	n/a
529.56	3.01	instruction	n/a
532.57	20.03	watch_static_bars	n/a
552.6	18.77	fixation_cross	n/a
571.37	3.01	instruction	n/a
574.38	20.06	control_moving_bars	n/a
594.44	1.86	rating	3
596.31	17.68	fixation_cross	n/a
613.99	3.01	instruction	n/a
617	20.03	watch_static_bars	n/a
