onset	duration	trial_type	rating
0.03	18.47	fixation_cross	n/a
18.5	3.01	instruction	n/a
21.51	20.06	control_moving_bars	n/a
41.57	3.32	rating	2
44.9	18.35	fixation_cross	n/a
63.24	3.01	instruction	n/a
66.25	20.06	watch_moving_bars	n/a
86.32	18.94	fixation_cross	n/a
105.25	3.01	instruction	n/a
108.26	20.06	watch_moving_bars	n/a
128.33	19.14	fixation_cross	n/a
147.47	3.01	instruction	n/a
150.48	20.06	control_moving_bars	n/a
170.54	1.73	rating	2
172.27	19.27	fixation_cross	n/a
191.54	3.01	instruction	n/a
194.55	20.03	watch_static_bars	n/a
214.58	17.83	fixation_cross	n/a
232.41	3.01	instruction	n/a
235.42	20.11	control_moving_bars	n/a
255.53	1.68	rating	2
257.21	19.05	fixation_cross	n/a
276.26	3.01	instruction	n/a
279.27	20.03	watch_static_bars	n/a
299.3	18.97	fixation_cross	n/a
318.27	3.01	instruction	n/a
321.28	20.06	watch_moving_bars	n/a
341.34	17.49	fixation_cross	n/a
358.83	3.01	instruction	n/a
361.84	20.06	watch_moving_bars	n/a
381.9	17.36	fixation_cross	n/a
399.27	3.01	instruction	n/a
402.28	20.06	control_moving_bars	n/a
422.34	2.17	rating	2
424.52	18.5	fixation_cross	n/a
443.02	3.01	instruction	n/a
446.04	20.06	watch_moving_bars	n/a
466.1	19.89	fixation_cross	n/a
485.99	3.01	instruction	n/a
489	20.03	watch_static_bars	n/a
509.03	18.03	fixation_cross	n/a
527.06	3.01	instruction	n/a
530.07	20.03	watch_static_bars	n/a
550.1	18.77	fixation_cross	n/a
568.87	3.01	instruction	n/a
571.88	20.06	control_moving_bars	n/a
591.94	2.28	rating	2
594.22	17.68	fixation_cross	n/a
611.9	3.01	instruction	n/a
614.91	20.05	watch_static_bars	n/a
