onset	duration	trial_type	rating
0.04	17.43	fixation_cross	n/a
17.48	3.01	instruction	n/a
20.48	20.05	watch_static_bars	n/a
40.53	18.27	fixation_cross	n/a
58.8	3.01	instruction	n/a
61.81	20.11	control_moving_bars	n/a
81.92	7.27	rating	1
89.19	19.75	fixation_cross	n/a
108.95	3	instruction	n/a
111.95	20.05	watch_moving_bars	n/a
132	19.39	fixation_cross	n/a
151.38	3.01	instruction	n/a
154.4	20.05	control_moving_bars	n/a
174.44	5.46	rating	1
179.9	19.89	fixation_cross	n/a
199.79	3.01	instruction	n/a
202.8	20.03	watch_static_bars	n/a
222.84	18.97	fixation_cross	n/a
241.8	3.01	instruction	n/a
244.82	20.06	control_moving_bars	n/a
264.88	1.81	rating	1
266.68	17.1	fixation_cross	n/a
283.79	3.01	instruction	n/a
286.8	20.06	watch_moving_bars	n/a
306.86	19.57	fixation_cross	n/a
326.42	3.01	instruction	n/a
329.43	20.06	watch_moving_bars	n/a
349.49	19.82	fixation_cross	n/a
369.3	3.01	instruction	n/a
372.32	20.03	watch_static_bars	n/a
392.35	19.05	fixation_cross	n/a
411.39	3.01	instruction	n/a
414.4	20.05	watch_static_bars	n/a
434.46	19.28	fixation_cross	n/a
453.74	3	instruction	n/a
456.74	20.07	control_moving_bars	n/a
476.81	2.26	rating	1
479.06	19.23	fixation_cross	n/a
498.29	3	instruction	n/a
501.3	20.06	watch_moving_bars	n/a
521.36	18.19	fixation_cross	n/a
539.55	3.01	instruction	n/a
542.56	20.1	control_moving_bars	n/a
562.67	1.74	rating	1
564.41	18.97	fixation_cross	n/a
583.38	3	instruction	n/a
586.38	20.03	watch_static_bars	n/a
606.41	17.53	fixation_cross	n/a
623.94	3	instruction	n/a
626.94	20.06	watch_moving_bars	n/a
