onset	duration	trial_type	rating
0.03	17.46	fixation_cross	n/a
17.49	3.01	instruction	n/a
20.5	20.06	watch_moving_bars	n/a
40.56	18.27	fixation_cross	n/a
58.83	3.01	instruction	n/a
61.84	20.06	control_moving_bars	n/a
81.9	5.24	rating	2
87.14	19.75	fixation_cross	n/a
106.89	3.01	instruction	n/a
109.9	20.02	watch_static_bars	n/a
129.92	19.39	fixation_cross	n/a
149.31	3.01	instruction	n/a
152.32	20.06	control_moving_bars	n/a
172.38	2.84	rating	1
175.22	19.89	fixation_cross	n/a
195.11	3.01	instruction	n/a
198.12	20.11	control_moving_bars	n/a
218.23	2.4	rating	2
220.63	18.97	fixation_cross	n/a
239.6	3.01	instruction	n/a
242.61	20.06	watch_moving_bars	n/a
262.67	17.11	fixation_cross	n/a
279.79	3.01	instruction	n/a
282.8	20.06	watch_moving_bars	n/a
302.86	19.56	fixation_cross	n/a
322.42	3.01	instruction	n/a
325.43	20.03	watch_static_bars	n/a
345.46	19.81	fixation_cross	n/a
365.27	3.01	instruction	n/a
368.29	20.06	watch_moving_bars	n/a
388.35	19.05	fixation_cross	n/a
407.4	3.01	instruction	n/a
410.4	20.06	control_moving_bars	n/a
430.47	2.22	rating	1
432.68	19.28	fixation_cross	n/a
451.96	3.01	instruction	n/a
454.98	20.03	watch_static_bars	n/a
475	19.24	fixation_cross	n/a
494.24	3.01	instruction	n/a
497.25	20.06	watch_moving_bars	n/a
517.31	18.19	fixation_cross	n/a
535.5	3.01	instruction	n/a
538.51	20.03	watch_static_bars	n/a
558.54	18.97	fixation_cross	n/a
577.51	3.01	instruction	n/a
580.52	20.06	control_moving_bars	n/a
600.58	2.28	rating	1
602.88	17.52	fixation_cross	n/a
620.4	3.01	instruction	n/a
623.41	20.03	watch_static_bars	n/a
