onset	duration	trial_type	rating
0.3	19.44	fixation_cross	n/a
19.74	3	instruction	n/a
22.75	20.07	control_moving_bars	n/a
42.81	3.76	rating	3
46.57	19.73	fixation_cross	n/a
66.3	3.02	instruction	n/a
69.32	20.1	watch_moving_bars	n/a
89.42	17.4	fixation_cross	n/a
106.82	3.01	instruction	n/a
109.83	20.03	watch_static_bars	n/a
129.85	19.75	fixation_cross	n/a
149.6	3.01	instruction	n/a
152.62	20.07	control_moving_bars	n/a
172.68	7.6	rating	5
180.29	18.91	fixation_cross	n/a
199.21	3	instruction	n/a
202.21	20.06	watch_moving_bars	n/a
222.27	17.3	fixation_cross	n/a
239.57	3.01	instruction	n/a
242.58	20.06	control_moving_bars	n/a
262.64	12.56	rating	2
275.21	17.84	fixation_cross	n/a
293.05	3.01	instruction	n/a
296.06	20.05	watch_static_bars	n/a
316.1	18.66	fixation_cross	n/a
334.76	3	instruction	n/a
337.76	20.06	watch_moving_bars	n/a
357.82	19.88	fixation_cross	n/a
377.7	3	instruction	n/a
380.7	20.05	watch_moving_bars	n/a
400.75	19.91	fixation_cross	n/a
420.66	3.01	instruction	n/a
423.67	20.02	watch_static_bars	n/a
443.68	17.49	fixation_cross	n/a
461.17	3.01	instruction	n/a
464.18	20.07	watch_moving_bars	n/a
484.25	19.92	fixation_cross	n/a
504.17	3.01	instruction	n/a
507.18	20.05	control_moving_bars	n/a
527.22	5.37	rating	4
532.59	19.86	fixation_cross	n/a
552.45	3.01	instruction	n/a
555.46	20.03	watch_static_bars	n/a
575.49	18.47	fixation_cross	n/a
593.96	3.01	instruction	n/a
596.97	20.03	watch_static_bars	n/a
617	19.41	fixation_cross	n/a
636.41	3.02	instruction	n/a
639.42	20.06	control_moving_bars	n/a
659.48	2.63	rating	2
