onset	duration	trial_type	rating
0.03	18.47	fixation_cross	n/a
18.5	3.01	instruction	n/a
21.51	20.06	watch_moving_bars	n/a
41.57	18.35	fixation_cross	n/a
59.92	3.01	instruction	n/a
62.93	20.06	control_moving_bars	n/a
82.99	6.41	rating	4
89.4	18.95	fixation_cross	n/a
108.36	3.01	instruction	n/a
111.37	20.01	watch_static_bars	n/a
131.38	19.14	fixation_cross	n/a
150.52	3.01	instruction	n/a
153.54	20.06	control_moving_bars	n/a
173.6	3.74	rating	3
177.34	19.27	fixation_cross	n/a
196.61	3.01	instruction	n/a
199.62	20.06	control_moving_bars	n/a
219.68	2.85	rating	2
222.53	17.83	fixation_cross	n/a
240.36	3.01	instruction	n/a
243.38	20.06	watch_moving_bars	n/a
263.44	19.05	fixation_cross	n/a
282.48	3.01	instruction	n/a
285.5	20.06	watch_moving_bars	n/a
305.56	18.97	fixation_cross	n/a
324.53	3.01	instruction	n/a
327.54	20.03	watch_static_bars	n/a
347.57	17.49	fixation_cross	n/a
365.06	3.01	instruction	n/a
368.07	20.11	watch_moving_bars	n/a
388.18	17.36	fixation_cross	n/a
405.54	3.01	instruction	n/a
408.55	20.11	control_moving_bars	n/a
428.66	3.52	rating	4
432.18	18.5	fixation_cross	n/a
450.68	3.01	instruction	n/a
453.7	20.03	watch_static_bars	n/a
473.73	19.89	fixation_cross	n/a
493.62	3.01	instruction	n/a
496.63	20.06	watch_moving_bars	n/a
516.69	18.03	fixation_cross	n/a
534.72	3.01	instruction	n/a
537.73	20.03	watch_static_bars	n/a
557.76	18.77	fixation_cross	n/a
576.53	3.01	instruction	n/a
579.54	20.06	control_moving_bars	n/a
599.6	2.11	rating	3
601.71	17.68	fixation_cross	n/a
619.38	3.01	instruction	n/a
622.39	20.03	watch_static_bars	n/a
