onset	duration	trial_type	rating
0.14	19.44	fixation_cross	n/a
19.59	3	instruction	n/a
22.59	20.02	watch_static_bars	n/a
42.61	19.73	fixation_cross	n/a
62.34	3	instruction	n/a
65.34	20.11	control_moving_bars	n/a
85.45	3.98	rating	4
89.44	17.39	fixation_cross	n/a
106.82	3.01	instruction	n/a
109.83	20.07	watch_moving_bars	n/a
129.9	19.75	fixation_cross	n/a
149.65	3.01	instruction	n/a
152.66	20.06	control_moving_bars	n/a
172.72	2.05	rating	3
174.77	18.9	fixation_cross	n/a
193.66	3.01	instruction	n/a
196.68	20.04	watch_static_bars	n/a
216.71	17.3	fixation_cross	n/a
234.01	3.01	instruction	n/a
237.02	20.06	control_moving_bars	n/a
257.08	2	rating	3
259.08	17.84	fixation_cross	n/a
276.92	3.01	instruction	n/a
279.94	20.06	watch_moving_bars	n/a
300	18.64	fixation_cross	n/a
318.64	3.01	instruction	n/a
321.65	20.06	watch_moving_bars	n/a
341.71	19.88	fixation_cross	n/a
361.59	3.01	instruction	n/a
364.6	20.03	watch_static_bars	n/a
384.62	19.91	fixation_cross	n/a
404.54	3.01	instruction	n/a
407.54	20.04	watch_static_bars	n/a
427.58	17.47	fixation_cross	n/a
445.05	3	instruction	n/a
448.06	20.07	control_moving_bars	n/a
468.12	2.22	rating	2
470.34	19.91	fixation_cross	n/a
490.26	3.01	instruction	n/a
493.27	20.07	watch_moving_bars	n/a
513.33	19.88	fixation_cross	n/a
533.21	3.01	instruction	n/a
536.22	20.1	control_moving_bars	n/a
556.32	1.88	rating	4
558.2	18.46	fixation_cross	n/a
576.67	3.01	instruction	n/a
579.68	20.05	watch_static_bars	n/a
599.72	19.41	fixation_cross	n/a
619.13	3.01	instruction	n/a
622.14	20.06	watch_moving_bars	n/a
