onset	duration	trial_type	rating
0.01	19.13	fixation_cross	n/a
19.14	3.01	instruction	n/a
22.15	20.06	control_moving_bars	n/a
42.21	6.21	rating	4
48.42	17.1	fixation_cross	n/a
65.52	3.01	instruction	n/a
68.53	20.06	watch_moving_bars	n/a
88.59	17.83	fixation_cross	n/a
106.42	3.01	instruction	n/a
109.43	20.06	watch_moving_bars	n/a
129.5	17.14	fixation_cross	n/a
146.64	3.01	instruction	n/a
149.65	20.06	control_moving_bars	n/a
169.71	8.91	rating	2
178.62	17.3	fixation_cross	n/a
195.92	3.01	instruction	n/a
198.93	20.05	watch_static_bars	n/a
218.98	19.48	fixation_cross	n/a
238.46	3.01	instruction	n/a
241.47	20.06	control_moving_bars	n/a
261.53	3.82	rating	4
265.36	19.09	fixation_cross	n/a
284.45	3.01	instruction	n/a
287.46	20.03	watch_static_bars	n/a
307.49	17.95	fixation_cross	n/a
325.45	3.01	instruction	n/a
328.46	20.06	watch_moving_bars	n/a
348.52	19.86	fixation_cross	n/a
368.38	3.01	instruction	n/a
371.39	20.06	watch_moving_bars	n/a
391.45	17.11	fixation_cross	n/a
408.56	3.01	instruction	n/a
411.58	20.06	control_moving_bars	n/a
431.64	9.33	rating	4
440.97	18.33	fixation_cross	n/a
459.3	3.01	instruction	n/a
462.31	20.06	watch_moving_bars	n/a
482.37	18.16	fixation_cross	n/a
500.53	3.01	instruction	n/a
503.54	20.05	watch_static_bars	n/a
523.58	19.3	fixation_cross	n/a
542.88	3.01	instruction	n/a
545.89	20.05	watch_static_bars	n/a
565.94	19.39	fixation_cross	n/a
585.33	3.01	instruction	n/a
588.34	20.06	control_moving_bars	n/a
608.4	5.02	rating	4
613.42	17.57	fixation_cross	n/a
630.99	3.01	instruction	n/a
634	20.05	watch_static_bars	n/a
