onset	duration	trial_type	rating
0.2	19.45	fixation_cross	n/a
19.66	3.01	instruction	n/a
22.67	20.06	control_moving_bars	n/a
42.73	5.16	rating	4
47.89	19.72	fixation_cross	n/a
67.61	3.01	instruction	n/a
70.62	20.06	watch_moving_bars	n/a
90.68	17.39	fixation_cross	n/a
108.08	3.01	instruction	n/a
111.09	20.03	watch_static_bars	n/a
131.12	19.75	fixation_cross	n/a
150.87	3.01	instruction	n/a
153.88	20.06	control_moving_bars	n/a
173.94	2.56	rating	4
176.5	18.91	fixation_cross	n/a
195.41	3.01	instruction	n/a
198.42	20.06	watch_moving_bars	n/a
218.48	17.3	fixation_cross	n/a
235.78	3.01	instruction	n/a
238.79	20.06	control_moving_bars	n/a
258.85	2.06	rating	4
260.91	17.85	fixation_cross	n/a
278.76	3.01	instruction	n/a
281.77	20.03	watch_static_bars	n/a
301.8	18.64	fixation_cross	n/a
320.44	3.01	instruction	n/a
323.45	20.06	watch_moving_bars	n/a
343.51	19.87	fixation_cross	n/a
363.39	3.01	instruction	n/a
366.4	20.06	watch_moving_bars	n/a
386.46	19.91	fixation_cross	n/a
406.36	3.01	instruction	n/a
409.38	20.03	watch_static_bars	n/a
429.41	17.49	fixation_cross	n/a
446.89	3.01	instruction	n/a
449.9	20.06	watch_moving_bars	n/a
469.97	19.94	fixation_cross	n/a
489.9	3.01	instruction	n/a
492.91	20.11	control_moving_bars	n/a
513.02	2.45	rating	4
515.47	19.87	fixation_cross	n/a
535.35	3.01	instruction	n/a
538.36	20.03	watch_static_bars	n/a
558.39	18.47	fixation_cross	n/a
576.86	3.01	instruction	n/a
579.87	20.03	watch_static_bars	n/a
599.9	19.41	fixation_cross	n/a
619.31	3.01	instruction	n/a
622.32	20.06	control_moving_bars	n/a
642.38	2.15	rating	3
