onset	duration	trial_type	rating
0.03	17.83	fixation_cross	n/a
17.86	3.01	instruction	n/a
20.87	20.06	watch_moving_bars	n/a
40.93	17.14	fixation_cross	n/a
58.08	3.01	instruction	n/a
61.09	20.06	control_moving_bars	n/a
81.15	0.55	rating	3
81.7	17.3	fixation_cross	n/a
99	3.01	instruction	n/a
102.01	20.03	watch_static_bars	n/a
122.04	19.48	fixation_cross	n/a
141.52	3.01	instruction	n/a
144.53	20.11	control_moving_bars	n/a
164.64	5.01	rating	2
169.65	19.09	fixation_cross	n/a
188.74	3.01	instruction	n/a
191.76	20.06	control_moving_bars	n/a
211.82	0.56	rating	3
212.38	17.95	fixation_cross	n/a
230.33	3.01	instruction	n/a
233.34	20.06	watch_moving_bars	n/a
253.41	19.86	fixation_cross	n/a
273.27	3.01	instruction	n/a
276.28	20.06	watch_moving_bars	n/a
296.34	17.11	fixation_cross	n/a
313.45	3.01	instruction	n/a
316.46	20.03	watch_static_bars	n/a
336.49	18.33	fixation_cross	n/a
354.82	3.01	instruction	n/a
357.83	20.06	watch_moving_bars	n/a
377.9	18.16	fixation_cross	n/a
396.05	3.01	instruction	n/a
399.06	20.06	control_moving_bars	n/a
419.13	4.51	rating	3
423.63	19.3	fixation_cross	n/a
442.93	3.01	instruction	n/a
445.94	20.03	watch_static_bars	n/a
465.97	19.39	fixation_cross	n/a
485.36	3.01	instruction	n/a
488.37	20.06	watch_moving_bars	n/a
508.44	17.57	fixation_cross	n/a
526	3.01	instruction	n/a
529.01	20.02	watch_static_bars	n/a
549.03	18.47	fixation_cross	n/a
567.5	3.01	instruction	n/a
570.51	20.06	control_moving_bars	n/a
590.57	4.04	rating	2
594.61	18.34	fixation_cross	n/a
612.96	3.01	instruction	n/a
615.97	20.02	watch_static_bars	n/a
