onset	duration	trial_type	rating
0.04	19.46	fixation_cross	n/a
19.5	3.01	instruction	n/a
22.5	20.05	watch_static_bars	n/a
42.56	19.71	fixation_cross	n/a
62.27	3.02	instruction	n/a
65.28	20.06	control_moving_bars	n/a
85.34	6.4	rating	4
91.75	17.39	fixation_cross	n/a
109.13	3.01	instruction	n/a
112.14	20.07	watch_moving_bars	n/a
132.21	19.75	fixation_cross	n/a
151.96	3.01	instruction	n/a
154.97	20.1	control_moving_bars	n/a
175.07	1.99	rating	3
177.06	18.9	fixation_cross	n/a
195.96	3.01	instruction	n/a
198.97	20.05	watch_static_bars	n/a
219.02	17.3	fixation_cross	n/a
236.32	3.01	instruction	n/a
239.33	20.05	control_moving_bars	n/a
259.38	2.46	rating	4
261.83	17.84	fixation_cross	n/a
279.67	3.01	instruction	n/a
282.68	20.07	watch_moving_bars	n/a
302.75	18.64	fixation_cross	n/a
321.39	3.01	instruction	n/a
324.4	20.05	watch_moving_bars	n/a
344.44	19.88	fixation_cross	n/a
364.32	3.01	instruction	n/a
367.33	20.03	watch_static_bars	n/a
387.36	19.91	fixation_cross	n/a
407.27	3.01	instruction	n/a
410.28	20.05	watch_static_bars	n/a
430.32	17.48	fixation_cross	n/a
447.8	3.01	instruction	n/a
450.81	20.1	control_moving_bars	n/a
470.91	3.21	rating	4
474.12	19.91	fixation_cross	n/a
494.03	3.01	instruction	n/a
497.04	20.07	watch_moving_bars	n/a
517.11	19.89	fixation_cross	n/a
536.99	3	instruction	n/a
539.99	20.06	control_moving_bars	n/a
560.05	4.14	rating	4
564.2	18.46	fixation_cross	n/a
582.66	3.01	instruction	n/a
585.67	20.03	watch_static_bars	n/a
605.7	19.41	fixation_cross	n/a
625.11	3.01	instruction	n/a
628.12	20.06	watch_moving_bars	n/a
